Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
A0A926ZFB8	A0A926ZFB8_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	recQ H6G03_07540	Aerosakkonema funiforme FACHB-1375	2949571	725	unreviewed	3.0	A0A926ZFB8;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Aerosakkonematales (order), Aerosakkonemataceae (family), Aerosakkonema (genus), Aerosakkonema funiforme (species)		Cyanophyceae	Aerosakkonematales	Aerosakkonemataceae	Aerosakkonema	bac	bac	
A0A3P3VUT0	A0A3P3VUT0_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ D0544_09020	Aestuariirhabdus litorea	2528527	598	unreviewed	3.0	A0A3P3VUT0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Aestuariirhabdaceae (family), Aestuariirhabdus (genus)		Gammaproteobacteria	Oceanospirillales	Aestuariirhabdaceae	Aestuariirhabdus	bac	bac	
A0A437QXI0	A0A437QXI0_9PROT	DNA helicase RecQ (EC 5.6.2.4)	recQ EOI86_07765	Hwanghaeella grinnelliae	2500179	619	unreviewed	3.0	A0A437QXI0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Aestuariispiraceae (family), Hwanghaeella (genus)		Alphaproteobacteria	Rhodospirillales	Aestuariispiraceae	Hwanghaeella	bac	bac	
A0A2W2CA50	A0A2W2CA50_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ DK847_11405	Aestuariivirga litoralis	2650924	626	unreviewed	3.0	A0A2W2CA50;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Aestuariivirgaceae (family), Aestuariivirga (genus)		Alphaproteobacteria	Hyphomicrobiales	Aestuariivirgaceae	Aestuariivirga	bac	bac	
A0A1H9HQT8	A0A1H9HQT8_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	SAMN05216548_106128	Faunimonas pinastri	1855383	622	unreviewed	3.0	A0A1H9HQT8;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Afifellaceae (family), Faunimonas (genus)		Alphaproteobacteria	Hyphomicrobiales	Afifellaceae	Faunimonas	bac	bac	
A0A6N1VGR7	A0A6N1VGR7_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ HTY61_10525	Oricola thermophila	2742145	602	unreviewed	3.0	A0A6N1VGR7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Ahrensiaceae (family), Oricola (genus)		Alphaproteobacteria	Hyphomicrobiales	Ahrensiaceae	Oricola	bac	bac	
B2UMH2	B2UMH2_AKKM8	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	Amuc_1710	Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc)	349741	716	unreviewed	3.0	B2UMH2;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Verrucomicrobiota (phylum), Verrucomicrobiia (class), Verrucomicrobiales (order), Akkermansiaceae (family), Akkermansia (genus), Akkermansia muciniphila (species)		Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	bac	bac	
A0A7Y9IXL8	A0A7Y9IXL8_9BURK	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	FHW18_004278	Pigmentiphaga litoralis	516702	664	unreviewed	3.0	A0A7Y9IXL8;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Alcaligenaceae (family), Pigmentiphaga (genus)		Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	bac	bac	
A0A9Q3UMW3	A0A9Q3UMW3_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ LL252_08920	Alloalcanivorax marinus	1177169	718	unreviewed	3.0	A0A9Q3UMW3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Alcanivoracaceae (family), Alloalcanivorax (genus)		Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	bac	bac	
A0ABU2WLQ6	A0ABU2WLQ6_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ RM530_15810	Banduia mediterranea	3075609	618	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Nevskiales (order), Algiphilaceae (family), Banduia (genus)		Gammaproteobacteria	Nevskiales	Algiphilaceae	Banduia	bac	bac	
A0A074MGJ7	A0A074MGJ7_9BACL	DNA helicase RecQ (EC 5.6.2.4)	EL26_02200	Tumebacillus flagellatus	1157490	737	unreviewed	3.0	A0A074MGJ7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Alicyclobacillaceae (family), Tumebacillus (genus)		Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	bac	bac	
A0A0D8ZU01	A0A0D8ZU01_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	UH38_09035	Aliterella atlantica CENA595	1618023	717	unreviewed	3.0	A0A0D8ZU01;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Chroococcidiopsidales (order), Aliterellaceae (family), Aliterella (genus), Aliterella atlantica (species)		Cyanophyceae	Chroococcidiopsidales	Aliterellaceae	Aliterella	bac	bac	
A0A7J5UKH6	A0A7J5UKH6_9ACTN	DNA 3'-5' helicase (EC 5.6.2.4)	GB883_17310	Georgenia thermotolerans	527326	764	unreviewed	3.0	A0A7J5UKH6;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Allobogoriellales (order), Allobogoriellaceae (family), Georgenia (genus)		Actinomycetes	Allobogoriellales	Allobogoriellaceae	Georgenia	bac	bac	
A0A3N1M5Z4	A0A3N1M5Z4_9PROT	DNA helicase RecQ (EC 5.6.2.4)	EDC65_0410	Allostella humosa	94	616	unreviewed	3.0	A0A3N1M5Z4;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Allostellaceae (family), Allostella (genus)		Alphaproteobacteria	Rhodospirillales	Allostellaceae	Allostella	bac	bac	
A0A2T1HPP3	A0A2T1HPP3_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ SLNSH_17760	Alsobacter soli	2109933	609	unreviewed	3.0	A0A2T1HPP3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Alsobacteraceae (family), Alsobacter (genus)		Alphaproteobacteria	Hyphomicrobiales	Alsobacteraceae	Alsobacter	bac	bac	
H5TEM7	H5TEM7_9ALTE	DNA helicase RecQ (EC 5.6.2.4)	recQ GPUN_2639	Glaciecola punicea ACAM 611	1121923	742	unreviewed	3.0	H5TEM7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), Glaciecola (genus), Glaciecola punicea (species)		Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	bac	bac	
A0ACD1DUN2	A0ACD1DUN2_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ KIH16_10855	Aminirod propionatiphilus	3415223	703	unreviewed	2.0		cellular organisms (no rank), Bacteria (domain), Thermotogati (kingdom), Synergistota (phylum), Synergistia (class), Synergistales (order), Aminiphilaceae (family), Aminirod (genus)		Synergistia	Synergistales	Aminiphilaceae	Aminirod	bac	bac	
A0A9Q7APN6	A0A9Q7APN6_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ KAR29_10920	Aminithiophilus ramosus	3029084	703	unreviewed	3.0	A0A9Q7APN6;	cellular organisms (no rank), Bacteria (domain), Thermotogati (kingdom), Synergistota (phylum), Synergistia (class), Synergistales (order), Aminithiophilaceae (family), Aminithiophilus (genus)		Synergistia	Synergistales	Aminithiophilaceae	Aminithiophilus	bac	bac	
B3ETE7	B3ETE7_AMOA5	DNA helicase RecQ (EC 5.6.2.4)	Aasi_1165	Amoebophilus asiaticus (strain 5a2)	452471	724	unreviewed	3.0	B3ETE7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Amoebophilaceae (family), Candidatus Amoebophilus (genus), Candidatus Amoebophilus asiaticus (species)		Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	bac	bac	
A0A934IEY7	A0A934IEY7_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ JCR33_06320	Acuticoccus mangrovi	2796142	625	unreviewed	3.0	A0A934IEY7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Amorphaceae (family), Acuticoccus (genus)		Alphaproteobacteria	Hyphomicrobiales	Amorphaceae	Acuticoccus	bac	bac	
A0AAW6TT43	A0AAW6TT43_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ QJ522_02170	Anaerobaca lacustris	3044600	607	unreviewed	3.0	A0AAW6TT43;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Phycisphaerae (class), Sedimentisphaerales (order), Anaerobacaceae (family), Anaerobaca (genus)		Phycisphaerae	Sedimentisphaerales	Anaerobacaceae	Anaerobaca	bac	bac	
A0A1U9NH39	A0A1U9NH39_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ STSP2_00227	Anaerohalosphaera lusitana	1936003	609	unreviewed	3.0	A0A1U9NH39;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Phycisphaerae (class), Sedimentisphaerales (order), Anaerohalosphaeraceae (family), Anaerohalosphaera (genus)		Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	Anaerohalosphaera	bac	bac	
A0A0S7BD37	A0A0S7BD37_9CHLR	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	LARV_00364	Longilinea arvoryzae	360412	922	unreviewed	3.0	A0A0S7BD37;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Chloroflexota (phylum), Anaerolineae (class), Anaerolineales (order), Anaerolineaceae (family), Longilinea (genus)		Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	bac	bac	
A0A7I9VGS3	A0A7I9VGS3_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	AMYX_00890	Anaeromyxobacter diazotrophicus	2590199	611	unreviewed	3.0	A0A7I9VGS3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Myxococcota (phylum), Myxococcia (class), Myxococcales (order), Cystobacterineae (suborder), Anaeromyxobacteraceae (family), Anaeromyxobacter (genus)		Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	bac	bac	
A0A397QVF2	A0A397QVF2_9MOLU	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	EI71_01810	Anaeroplasma bactoclasticum	2088	404	unreviewed	2.0	A0A397QVF2;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Mycoplasmatota (phylum), Mollicutes (class), Anaeroplasmatales (order), Anaeroplasmataceae (family), Anaeroplasma (genus)		Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	bac	bac	
A0A923SRH9	A0A923SRH9_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	recQ H9L42_12860	Zhenpiania hominis	2763644	618	unreviewed	3.0	A0A923SRH9;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Peptostreptococcales (order), Anaerovoracaceae (family), Zhenpiania (genus)		Clostridia	Peptostreptococcales	Anaerovoracaceae	Zhenpiania	bac	bac	
A0A4Q9VYY3	A0A4Q9VYY3_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ EYW49_01420	Siculibacillus lacustris	1549641	639	unreviewed	3.0	A0A4Q9VYY3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Ancalomicrobiaceae (family), Siculibacillus (genus)		Alphaproteobacteria	Hyphomicrobiales	Ancalomicrobiaceae	Siculibacillus	bac	bac	
A0ABT9V3T8	A0ABT9V3T8_9BACL	DNA helicase RecQ (EC 5.6.2.4)	J2S07_001825	Anoxybacillus andreesenii	1325932	705	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Anoxybacillaceae (family), Anoxybacillus (genus)		Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	bac	bac	
A0A1Z4V0W8	A0A1Z4V0W8_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	NIES806_13910	Dolichospermum compactum NIES-806	1973481	729	unreviewed	3.0	A0A1Z4V0W8;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Aphanizomenonaceae (family), Dolichospermum (genus), Dolichospermum compactum (species)		Cyanophyceae	Nostocales	Aphanizomenonaceae	Dolichospermum	bac	bac	
U5D866	U5D866_9CHRO	DNA helicase RecQ (EC 5.6.2.4)	KR51_00028100	Rubidibacter lacunae KORDI 51-2	582515	805	unreviewed	3.0	U5D866;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Chroococcales (order), Aphanothecaceae (family), Rubidibacter (genus), Rubidibacter lacunae (species)		Cyanophyceae	Chroococcales	Aphanothecaceae	Rubidibacter	bac	bac	
A0A2S0P709	A0A2S0P709_9NEIS	DNA helicase RecQ (EC 5.6.2.4)	recQ DAI18_03115	Microvirgula aerodenitrificans	57480	608	unreviewed	3.0	A0A2S0P709;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Aquaspirillaceae (family), Microvirgula (genus)		Betaproteobacteria	Neisseriales	Aquaspirillaceae	Microvirgula	bac	bac	
A0A1L9AV26	A0A1L9AV26_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	BON30_46465	Cystobacter ferrugineus	83449	692	unreviewed	3.0	A0A1L9AV26;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Myxococcota (phylum), Myxococcia (class), Myxococcales (order), Cystobacterineae (suborder), Archangiaceae (family), Cystobacter (genus)		Myxococcia	Myxococcales	Archangiaceae	Cystobacter	bac	bac	
A0A4Q0Y4Z7	A0A4Q0Y4Z7_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ CRV06_01735	Halarcobacter anaerophilus	877500	703	unreviewed	3.0	A0A4Q0Y4Z7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Campylobacterota (phylum), Epsilonproteobacteria (class), Campylobacterales (order), Arcobacteraceae (family), Halarcobacter (genus)		Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	bac	bac	
A0A395JUQ1	A0A395JUQ1_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	DFR28_101664	Arenicella xantha	644221	597	unreviewed	3.0	A0A395JUQ1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Arenicellales (order), Arenicellaceae (family), Arenicella (genus)		Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	bac	bac	
A0A7W9SLX4	A0A7W9SLX4_ARMRO	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	HNQ39_000834	Armatimonas rosea	685828	774	unreviewed	3.0	A0A7W9SLX4;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Armatimonadota (phylum), Armatimonadia (class), Armatimonadales (order), Armatimonadaceae (family), Armatimonas (genus)		Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	bac	bac	
A0A7S7M8R9	A0A7S7M8R9_9ACTN	DNA helicase RecQ (EC 5.6.2.4)	recQ INP52_01010	Thermophilibacter immobilis	2779519	628	unreviewed	3.0	A0A7S7M8R9;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Coriobacteriia (class), Coriobacteriales (order), Atopobiaceae (family), Thermophilibacter (genus)		Coriobacteriia	Coriobacteriales	Atopobiaceae	Thermophilibacter	bac	bac	
A0A6L9ML60	A0A6L9ML60_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ GTW51_17890	Aurantimonas aggregata	2047720	636	unreviewed	3.0	A0A6L9ML60;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Aurantimonadaceae (family), Aurantimonas (genus)		Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aurantimonas	bac	bac	
A0A133XH79	A0A133XH79_9RHOO	DNA helicase RecQ (EC 5.6.2.4)	AT959_12820	Dechloromonas denitrificans	281362	608	unreviewed	3.0	A0A133XH79;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Rhodocyclales (order), Azonexaceae (family), Dechloromonas (genus)		Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	bac	bac	
A0A560FQL6	A0A560FQL6_9PROT	DNA helicase RecQ (EC 5.6.2.4)	FBZ88_11387	Nitrospirillum amazonense	28077	675	unreviewed	3.0	A0A560FQL6;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Azospirillaceae (family), Nitrospirillum (genus)		Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Nitrospirillum	bac	bac	
O34748	RECQ_BACSU	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ yocI BSU19220	Bacillus subtilis (strain 168)	224308	591	reviewed	5.0	O34748;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus subtilis group (no rank), Bacillus subtilis (species), Bacillus subtilis subsp. subtilis (subspecies)		Bacilli	Bacillales	Bacillaceae	Bacillus	bac	bac	
A0A2K9NPR6	A0A2K9NPR6_BACTC	DNA helicase RecQ (EC 5.6.2.4)	recQ C0V70_05105	Bacteriovorax stolpii (Bdellovibrio stolpii)	960	604	unreviewed	3.0	A0A2K9NPR6;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Bdellovibrionota (phylum), Bacteriovoracia (class), Bacteriovoracales (order), Bacteriovoracaceae (family), Bacteriovorax (genus)		Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	bac	bac	
A0A4S2AJV8	A0A4S2AJV8_9BACE	DNA helicase RecQ (EC 5.6.2.4)	recQ E5355_15395	Bacteroides muris (ex Afrizal et al. 2022)	2516960	727	unreviewed	3.0	A0A4S2AJV8;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Bacteroidaceae (family), Bacteroides (genus)		Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	bac	bac	
A0A5B8U1Y7	A0A5B8U1Y7_9ACTN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	FSW04_04990	Baekduia soli	496014	602	unreviewed	3.0	A0A5B8U1Y7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Thermoleophilia (class), Solirubrobacterales (order), Baekduiaceae (family), Baekduia (genus)		Thermoleophilia	Solirubrobacterales	Baekduiaceae	Baekduia	bac	bac	
A0ABX5M3P8	A0ABX5M3P8_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	WH50_00205	Pokkaliibacter plantistimulans	1635171	718	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Balneatrichaceae (family), Pokkaliibacter (genus)		Gammaproteobacteria	Oceanospirillales	Balneatrichaceae	Pokkaliibacter	bac	bac	
A0A7L4UPB9	A0A7L4UPB9_BALHA	DNA helicase RecQ (EC 5.6.2.4)	C7377_1301	Balneicella halophila	1537566	723	unreviewed	3.0	A0A7L4UPB9;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Balneicellaceae (family), Balneicella (genus)		Bacteroidia	Bacteroidales	Balneicellaceae	Balneicella	bac	bac	
A0A9X2L2K1	A0A9X2L2K1_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ NM125_04640	Gracilimonas sediminicola	2952158	737	unreviewed	3.0	A0A9X2L2K1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Balneolota (phylum), Balneolia (class), Balneolales (order), Balneolaceae (family), Gracilimonas (genus)		Balneolia	Balneolales	Balneolaceae	Gracilimonas	bac	bac	
A0A7G1HSH5	A0A7G1HSH5_9BACT	DNA helicase RecQ (EC 5.6.2.4)	Cop2CBH44_10380	Coprobacter secundus subsp. similis	2751153	726	unreviewed	3.0	A0A7G1HSH5;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Barnesiellaceae (family), Coprobacter (genus), Coprobacter secundus (species)		Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	bac	bac	
